,event_id,case_type,time,centroid_lat,centroid_lon,speed_kmh,direction_deg,major_axis_km,minor_axis_km,orientation_deg,age,cell_volume,cell_top,projected_area,mean_area,max_dbz,height_max_dbz,VIL,storm_intensity,hail_mass,hail_mass_aloft,reflectivity_threshold,hail_probability_pct
0,57,history,2025-11-23 23:07:00,-27.5537,154.8037,51.631,36.8676,23.0967,14.8454,102.587,7362.0,7715.25,14.875,1077.19,571.5,67.5,3.25,150.4,4.0,7.30937,157.173,35.0,100.0
1,57,history,2025-11-23 23:12:00,-27.5201,154.8208,52.9453,28.8001,22.7331,14.6496,99.3473,7362.0,7378.17,14.875,1046.25,546.531,65.46,2.5,118.908,4.0,5.44472,147.55,35.0,100.0
2,57,history,2025-11-23 23:17:00,-27.4808,154.8281,51.8807,24.2232,21.4194,15.3642,100.281,7362.0,7435.12,15.625,1033.88,521.763,64.988,1.75,117.183,3.0,5.37144,138.728,35.0,100.0
3,57,history,2025-11-23 23:22:00,-27.4493,154.8383,49.2102,19.1952,20.9452,14.5324,99.9029,7362.0,7297.59,16.375,956.25,486.506,65.55,5.5,132.803,4.0,6.0966,145.536,35.0,100.0
4,57,history,2025-11-23 23:27:00,-27.4138,154.8328,47.0484,9.11177,18.7002,14.5823,130.6,7362.0,7283.67,16.375,856.688,485.578,68.5,5.5,156.428,4.0,7.49749,172.664,35.0,100.0
5,57,history,2025-11-23 23:32:00,-27.377,154.8492,47.6766,9.75521,17.9517,15.1006,129.502,7362.0,7166.81,16.375,851.625,477.788,67.5,1.75,169.617,4.0,8.37231,172.451,35.0,100.0
6,57,history,2025-11-23 23:37:00,-27.3384,154.8594,49.5232,12.2522,18.3015,14.7239,147.678,7362.0,6612.47,16.375,846.562,440.831,67.5,5.5,153.264,4.0,7.47795,153.434,35.0,100.0
7,57,history,2025-11-23 23:42:00,-27.3067,154.8782,50.0311,17.967,18.6477,14.3545,142.146,7362.0,6262.31,15.625,840.938,439.461,66.5,5.5,140.961,4.0,6.74402,130.237,35.0,100.0
8,57,history,2025-11-23 23:47:00,-27.2664,154.8903,39.2019,26.4482,18.8117,14.8956,147.742,7362.0,5931.14,15.625,880.312,416.22,66.0,5.5,146.348,4.0,6.99031,130.486,35.0,100.0
9,57,history,2025-11-23 23:52:00,-27.2333,154.9067,46.8126,28.6894,18.4335,14.8613,149.347,7362.0,5291.58,16.375,860.625,352.772,68.5,5.5,190.727,4.0,9.61391,171.488,35.0,100.0
10,110,history,2025-11-23 23:57:00,-27.1921,154.9168,46.526,33.4404,17.7613,14.1434,125.96,6368.0,4774.78,16.375,789.188,318.319,71.5,6.25,239.955,4.0,13.0406,176.07,35.0,100.0
11,110,history,2025-11-24 00:02:00,-27.1523,154.9291,42.3847,37.7668,16.9171,13.9285,126.052,6368.0,4664.25,15.625,740.25,327.316,68.5,2.5,201.706,4.0,10.3385,141.323,35.0,100.0
